name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Boston,2017-10-05,80.1,64.1,71.3,80.9,64.1,71.4,58.2,64.9,0,0,0,,0,0,31.1,22.7,242.7,1016.6,50.4,9.9,166.4,14.5,7,,2017-10-05T06:45:54,2017-10-05T18:18:28,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2017-10-06,74.9,60.7,67.2,74.9,60.7,67.2,52.3,60.5,0,0,0,,0,0,17.2,13.6,283.3,1018.4,51.1,9.8,174.5,15.1,6,,2017-10-06T06:47:01,2017-10-06T18:16:46,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2017-10-07,75.1,60,67.3,75.1,60,67.3,60.8,79.9,0,0,0,,0,0,,15.9,175.7,1019.7,64.2,9.9,128,11.1,6,,2017-10-07T06:48:08,2017-10-07T18:15:04,0.57,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2017-10-08,74.9,69.2,71.9,74.9,69.2,71.9,68,87.5,0.112,100,12.5,rain,0,0,29.8,21.6,207,1013.8,67.6,9.8,102.2,8.9,5,,2017-10-08T06:49:15,2017-10-08T18:13:23,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2017-10-09,74.1,66.9,71.2,74.1,66.9,71.2,69.8,95.6,0.279,100,41.67,rain,0,0,29,24,193.4,1013.8,67.2,7.3,88.3,7.5,4,,2017-10-09T06:50:23,2017-10-09T18:11:42,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2017-10-10,78.2,67.6,73.1,78.2,67.6,73.1,61.1,67.2,0,0,0,,0,0,21.9,14.8,285.4,1014.6,30.3,9.9,165.7,14.3,6,,2017-10-10T06:51:31,2017-10-10T18:10:02,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2017-10-11,66.9,60.2,63.2,66.9,60.2,63.2,53.7,71.4,0.011,100,4.17,rain,0,0,20.8,15.9,31.3,1021.5,63.3,9.8,143.2,12.4,6,,2017-10-11T06:52:39,2017-10-11T18:08:23,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2017-10-12,57.8,48.5,54.9,57.8,46.7,54.8,41.8,61.6,0,0,0,,0,0,26.4,20.5,49.6,1029.7,39.6,9.9,144.4,12.4,6,,2017-10-12T06:53:48,2017-10-12T18:06:44,0.75,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2017-10-13,61.2,46.6,55.4,61.2,43.8,54.5,47,74.1,0,0,0,,0,0,16.1,18,93.7,1031.2,33.8,9.9,190.5,16.3,7,,2017-10-13T06:54:57,2017-10-13T18:05:06,0.78,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2017-10-14,64.3,56.8,60.3,64.3,56.8,60.3,57.6,91,0.098,100,12.5,rain,0,0,,6.9,143.5,1024.3,68.6,8.3,90.1,7.6,3,,2017-10-14T06:56:06,2017-10-14T18:03:29,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2017-10-15,74.1,57.8,66.2,74.1,57.8,66.2,61.9,87,0,0,0,,0,0,36.7,23.9,213.2,1014,79.6,6.5,139.6,12.1,5,,2017-10-15T06:57:16,2017-10-15T18:01:53,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2017-10-16,69.2,46,59.1,69.2,39.6,58.1,46.2,62.6,0,0,0,,0,0,32.2,22.7,297.2,1012.5,54.1,9.9,125.4,10.9,5,,2017-10-16T06:58:26,2017-10-16T18:00:17,0.89,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2017-10-17,56.1,40.7,48.2,56.1,32.5,44.7,32.5,56.4,0,0,0,,0,0,25.3,15.7,284.2,1023.8,13.9,9.9,183.8,15.8,7,,2017-10-17T06:59:36,2017-10-17T17:58:42,0.92,Clear,Clear conditions throughout the day.,clear-day,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
